,spp,fbsci,maxlength,mortalitywild,fecundity,fecundity_mean,maturitylength,maturitylength_mean,maturityage,maturityage_mean,numberofspawningcycles,reproductiveseasonlength,fertilization,reproductionmode,spawningground,batchspawner,parentalcare,larvaesize,larvae_mean
1,Abudefduf saxatilis,Abudefduf saxatilis,22.9,NA,2.00E+05,2.00E+05,10.1,10.1,NA,NaN,NA,8 months,external,dioecism,"c(NA, ""coastal"")",0,1,2.64,2.64
2,Acanthocybium solandri,Acanthocybium solandri,250,NA,6.00E+06,6.00E+06,"c(NA, NA, 85, NA, 86, NA)",85.5,"c(NA, 1, NA, NA, 1, 1)",1,NA,NA,external,dioecism,"c(NA, NA, NA, NA, NA, NA)",0,3,NA,NaN
3,Acanthopagrus schlegelii,Acanthopagrus schlegelii,50,NA,NA,NaN,"c(29, 10.1, NA)",19.55,"c(NA, NA, NA)",NaN,one clear seasonal peak per year,3.2 months,external,protandry,"c(""coastal"", ""coastal"", ""coastal"", NA, ""coastal"")",0,3,2,2
4,Acanthurus nigrofuscus,Acanthurus nigrofuscus,21,NA,NA,NaN,"c(13, 10)",11.5,"c(NA, NA)",NaN,one clear seasonal peak per year,NA,external,dioecism,coastal,-1,3,NA,NaN
5,Acanthurus nigroris,Acanthurus nigroris,25,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,2,NA,NaN
6,Acanthurus triostegus,Acanthurus triostegus,27,NA,192145,192145,"c(NA, NA)",NaN,"c(1, NA)",1,NA,4 months,external,dioecism,coastal,0,1,1.7,1.7
7,Aetobatus narinari,Aetobatus narinari,330,NA,1,1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,no obvious seasonal peak,2 months,internal (oviduct),dioecism,NA,0,NA,NA,NaN
8,Alopias vulpinus,Alopias vulpinus,573.3,25,2,2,"c(350, NA, 350, 260, 226, 184, NA, 155, NA, NA, NA, NA)",254.1666667,"c(NA, NA, 7, 5, NA, NA, NA, NA, NA, NA, NA, NA)",6,NA,NA,internal (oviduct),dioecism,coastal,0,NA,NA,NaN
9,Amblyraja radiata,Amblyraja radiata,105,28,"c(17, 13, 56)",28.66666667,"c(NA, NA, 50, NA, NA, 60, NA)",55,"c(NA, NA, NA, NA, NA, NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,NA,0,3,NA,NaN
10,Ammodytes personatus,Ammodytes personatus,15,NA,8774.5,8774.5,NA,NaN,NA,NaN,one clear seasonal peak per year,3 months,NA,NA,"c(NA, NA)",NA,NA,0.472,0.472
11,Amphiprion akallopisos,Amphiprion akallopisos,11,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,protandry,NA,0,1,NA,NaN
12,Amphiprion latezonatus,Amphiprion latezonatus,14,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,protandry,NA,0,1,NA,NaN
13,Amphiprion melanopus,Amphiprion melanopus,12,5,7200,7200,4.5,4.5,1.67,1.67,NA,NA,external,protandry,coastal,0,1,NA,NaN
14,Anoplopoma fimbria,Anoplopoma fimbria,120,94,"c(NA, 1e+05, 241200)",170600,"c(NA, NA, 58, NA, 60, NA, NA)",59,"c(NA, NA, NA, NA, 5, NA, NA)",5,NA,NA,external,dioecism,"c(NA, ""coastal"", ""oceanic"", ""shelf"")",0,3,6,6
15,Archosargus probatocephalus,Archosargus probatocephalus,91,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,"c(NA, ""coastal"")",NA,NA,NA,NaN
16,Atherinella brasiliensis,Atherinella brasiliensis,17.7,NA,NA,NaN,"c(NA, NA)",NaN,"c(NA, NA)",NaN,NA,NA,NA,NA,"c(NA, NA, NA)",NA,NA,NA,NaN
17,Auxis rochei,Auxis rochei,50,NA,NA,NaN,"c(35, 36.5, NA, NA, NA)",35.75,"c(NA, NA, 2, NA, NA)",2,Variable throughout range,NA,external,dioecism,"c(""coastal"", ""coastal"", NA, NA, NA, NA, NA)",-1,3,3.3,3.3
18,Auxis thazard,Auxis thazard,65,5,"c(2e+05, NA, NA)",2.00E+05,"c(35, 29, NA, NA, NA, NA, NA)",32,"c(NA, NA, NA, NA, NA, NA, NA)",NaN,Variable throughout range,NA,external,dioecism,"c(NA, NA, NA, NA, NA)",0,3,3.26,3.26
19,Balistes capriscus,Balistes capriscus,60,NA,NA,NaN,"c(13, NA, NA, NA, NA, NA, NA)",13,"c(NA, NA, NA, NA, NA, NA, NA)",NaN,one clear seasonal peak per year,NA,external,dioecism,"c(""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"")",0,1,NA,NaN
20,Bathygobius cocosensis,Bathygobius cocosensis,12,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
21,Bathytoshia brevicaudata,Bathytoshia brevicaudata,430,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
22,Bathytoshia centroura,Bathytoshia centroura,300,NA,"c(2, 2)",2,"c(66, 80, 140, 130)",104,"c(NA, NA, NA, NA)",NaN,one clear seasonal peak per year,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
23,Bellapiscis lesleyae,Bellapiscis lesleyae,6.03,3,NA,NaN,4,4,NA,NaN,one clear seasonal peak per year,NA,external,dioecism,coastal,0,1,NA,NaN
24,Bellapiscis medius,Bellapiscis medius,7.5,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
25,Beringraja pulchra,Beringraja pulchra,115,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,internal (oviduct),dioecism,NA,0,3,NA,NaN
26,Beryx decadactylus,Beryx decadactylus,100,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,NA,NA,NaN
27,Beryx splendens,Beryx splendens,70,23,270000,270000,"c(30, NA, NA, 19)",24.5,"c(4, NA, NA, 2)",3,NA,NA,external,dioecism,NA,-1,NA,NA,NaN
