He Models: mtDNA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top Models (include spp, Source, MarkerName)",,,,,,,,,,,,,,,,,,,,,,,,,,
mtDNA,AICc,delta,logLiK,weight,df,Intercept,maxlength,Fecundity Mean (log),Fertilization,Reproduction mode,Bp,Extra Notes:,,,,,,,,,,,,,,
"Fertilization,Reproduction",666.3967,0,-327.886,0.114151,5,1.424506,NA,NA,-2.35233,3.267592,NA,,,,,,,,,,,,,,,
"Fertilization, Reproduction, Bp",666.66,0.263265,-326.888,0.100072,6,1.133156,NA,NA,-2.30428,3.429981,0.692065,,,,,,,,,,,,,,,
Fertilization,666.984,0.587277,-329.286,0.085105,4,5.232945,NA,NA,-2.62571,NA,NA,,,,,,,,,,,,,,,
"Maxlength, fertilization",667.2116,0.814899,-328.293,0.07595,5,2.304781,1.838728,NA,-3.07761,NA,NA,,,,,,,,,,,,,,,
"Maxlength, Fertilization, Reproduction",667.2254,0.828676,-327.171,0.075428,6,-0.86337,1.576693,NA,-2.75474,3.073006,NA,,,,,,,,,,,,,,,
,667.6224,1.225756,-328.499,0.061846,5,5.103333,NA,NA,-2.57354,NA,0.521755,,,,,,,,,,,,,,,
,667.85,1.45329,-327.483,0.055195,6,-0.31017,NA,0.222829,-1.85121,3.360247,NA,,,,,,,,,,,,,,,
,668.3124,1.915758,-326.561,0.0438,7,-0.19312,0.922581,NA,-2.52289,3.283504,0.424156,,,,,,,,,,,,,,,
,668.4991,2.102425,-326.654,0.039897,7,-0.17724,NA,0.170521,-1.91197,3.47568,0.49363,,,,,,,,,,,,,,,
,668.6124,2.215733,-328.994,0.0377,5,3.670335,NA,0.214452,-2.15174,NA,NA,,,,,,,,,,,,,,,
,668.6933,2.296586,-327.905,0.036206,6,2.389517,1.735636,NA,-3.02022,NA,0.306948,,,,,,,,,,,,,,,
,668.8928,2.496116,-326.851,0.032768,7,-2.27142,1.461647,0.207801,-2.26649,3.158375,NA,,,,,,,,,,,,,,,
