"","spp","X.x","fbsci","maxlength","mortalitywild","fecundity","fecundity_mean","maturitylength","maturitylength_mean","maturityage","maturityage_mean","numberofspawningcycles","reproductiveseasonlength","fertilization","reproductionmode","spawningground","batchspawner","parentalcare","larvaesize","larvae_mean","X.y","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file"
"1","Abudefduf saxatilis",1,"Abudefduf saxatilis",22.9,NA,"2.00E+05",2e+05,"10.1",10.1,NA,NA,NA,"8 months","external","dioecism","c(NA, ""coastal"")",0,1,"2.64",2.64,1,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","AntÛn Lizardo",19.0992222222222,-95.9416944444445,NA,"","cytb, control region",18,"1250",0.99,0.0047,0.008,9e-04,"mtdna102"
"2","Abudefduf saxatilis",1,"Abudefduf saxatilis",22.9,NA,"2.00E+05",2e+05,"10.1",10.1,NA,NA,NA,"8 months","external","dioecism","c(NA, ""coastal"")",0,1,"2.64",2.64,2,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Contoy Island",21.4720555555556,-86.7888611111111,NA,"","cytb, control region",13,"1250",0.99,0.0111,0.007,0.0011,"mtdna102"
"3","Abudefduf saxatilis",1,"Abudefduf saxatilis",22.9,NA,"2.00E+05",2e+05,"10.1",10.1,NA,NA,NA,"8 months","external","dioecism","c(NA, ""coastal"")",0,1,"2.64",2.64,3,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Cozumel Island",20.4406944444444,-87.0022777777778,NA,"","cytb, control region",17,"1250",1,0.0049,0.006,7e-04,"mtdna102"
"4","Abudefduf saxatilis",1,"Abudefduf saxatilis",22.9,NA,"2.00E+05",2e+05,"10.1",10.1,NA,NA,NA,"8 months","external","dioecism","c(NA, ""coastal"")",0,1,"2.64",2.64,4,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Lobos Island",21.4887222222222,-97.2270833333333,NA,"","cytb, control region",27,"1250",0.98,0.0192,0.009,0.001,"mtdna102"
"5","Abudefduf saxatilis",1,"Abudefduf saxatilis",22.9,NA,"2.00E+05",2e+05,"10.1",10.1,NA,NA,NA,"8 months","external","dioecism","c(NA, ""coastal"")",0,1,"2.64",2.64,5,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Tuxpan",21.0270277777778,-97.1991388888889,NA,"","cytb, control region",16,"1250",0.99,0.0075,0.005,8e-04,"mtdna102"
"6","Abudefduf saxatilis",1,"Abudefduf saxatilis",22.9,NA,"2.00E+05",2e+05,"10.1",10.1,NA,NA,NA,"8 months","external","dioecism","c(NA, ""coastal"")",0,1,"2.64",2.64,6,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Veracruz",19.1995833333333,-96.0694444444444,NA,"","cytb, control region",12,"1250",1,0.0087,0.007,0.0012,"mtdna102"
"7","Abudefduf saxatilis",1,"Abudefduf saxatilis",22.9,NA,"2.00E+05",2e+05,"10.1",10.1,NA,NA,NA,"8 months","external","dioecism","c(NA, ""coastal"")",0,1,"2.64",2.64,7,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Xcalak",18.3259722222222,-87.8156111111111,NA,"","cytb, control region",15,"1250",1,0.0052,0.007,0.001,"mtdna102"
"8","Acanthocybium solandri",2,"Acanthocybium solandri",250,NA,"6.00E+06",6e+06,"c(NA, NA, 85, NA, 86, NA)",85.5,"c(NA, 1, NA, NA, 1, 1)",1,NA,NA,"external","dioecism","c(NA, NA, NA, NA, NA, NA)",0,3,NA,NA,8,"Wahoo","Garber, Tringali & Franks 2005","","Caribbean Sea off the Cayman Islands",19.303,-75,NA,"2001","control region",23,"890",1,NA,0.052,NA,"mtdna101"
"9","Acanthocybium solandri",2,"Acanthocybium solandri",250,NA,"6.00E+06",6e+06,"c(NA, NA, 85, NA, 86, NA)",85.5,"c(NA, 1, NA, NA, 1, 1)",1,NA,NA,"external","dioecism","c(NA, NA, NA, NA, NA, NA)",0,3,NA,NA,9,"Wahoo","Garber, Tringali & Franks 2005","Bahamas","Bimini, Bahamas",25.739,-79.0347222222222,NA,"1997/1998","control region",40,"890",1,NA,0.05,NA,"mtdna101"
"10","Acanthocybium solandri",2,"Acanthocybium solandri",250,NA,"6.00E+06",6e+06,"c(NA, NA, 85, NA, 86, NA)",85.5,"c(NA, 1, NA, NA, 1, 1)",1,NA,NA,"external","dioecism","c(NA, NA, NA, NA, NA, NA)",0,3,NA,NA,10,"Wahoo","Garber, Tringali & Franks 2005","United States","Atlantic Ocean off North Carolina",34.8,-70,NA,"2000/2001","control region",23,"890",1,NA,0.053,NA,"mtdna101"
"11","Acanthocybium solandri",2,"Acanthocybium solandri",250,NA,"6.00E+06",6e+06,"c(NA, NA, 85, NA, 86, NA)",85.5,"c(NA, 1, NA, NA, 1, 1)",1,NA,NA,"external","dioecism","c(NA, NA, NA, NA, NA, NA)",0,3,NA,NA,11,"Wahoo","Garber, Tringali & Franks 2005","United States","East Central Florida",28.304,-75,NA,"2001","control region",30,"890",1,NA,0.055,NA,"mtdna101"
"12","Acanthocybium solandri",2,"Acanthocybium solandri",250,NA,"6.00E+06",6e+06,"c(NA, NA, 85, NA, 86, NA)",85.5,"c(NA, 1, NA, NA, 1, 1)",1,NA,NA,"external","dioecism","c(NA, NA, NA, NA, NA, NA)",0,3,NA,NA,12,"Wahoo","Garber, Tringali & Franks 2005","United States","Northern Gulf of Mexico",29.229,-84,NA,"1998-2000","control region",54,"890",0.999,NA,0.055,NA,"mtdna101"
"13","Acanthocybium solandri",2,"Acanthocybium solandri",250,NA,"6.00E+06",6e+06,"c(NA, NA, 85, NA, 86, NA)",85.5,"c(NA, 1, NA, NA, 1, 1)",1,NA,NA,"external","dioecism","c(NA, NA, NA, NA, NA, NA)",0,3,NA,NA,13,"Wahoo","Garber, Tringali & Franks 2005","United States","Southern tip of Florida",25.205,-76,NA,"2000/2001","control region",21,"890",0.995,NA,0.049,NA,"mtdna101"
