"","spp","X","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file","maxlength","fecundity_mean","fertilization","reproductionmode"
"1","Abudefduf saxatilis",1,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","AntÛn Lizardo",19.0992222222222,-95.9416944444445,NA,"","cytb, control region",18,"1250",0.99,0.0047,0.008,9e-04,"mtdna102",22.9,NA,"external","dioecism"
"2","Abudefduf saxatilis",2,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Contoy Island",21.4720555555556,-86.7888611111111,NA,"","cytb, control region",13,"1250",0.99,0.0111,0.007,0.0011,"mtdna102",22.9,NA,"external","dioecism"
"3","Abudefduf saxatilis",3,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Cozumel Island",20.4406944444444,-87.0022777777778,NA,"","cytb, control region",17,"1250",1,0.0049,0.006,7e-04,"mtdna102",22.9,NA,"external","dioecism"
"4","Abudefduf saxatilis",4,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Lobos Island",21.4887222222222,-97.2270833333333,NA,"","cytb, control region",27,"1250",0.98,0.0192,0.009,0.001,"mtdna102",22.9,NA,"external","dioecism"
"5","Abudefduf saxatilis",5,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Tuxpan",21.0270277777778,-97.1991388888889,NA,"","cytb, control region",16,"1250",0.99,0.0075,0.005,8e-04,"mtdna102",22.9,NA,"external","dioecism"
"6","Abudefduf saxatilis",6,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Veracruz",19.1995833333333,-96.0694444444444,NA,"","cytb, control region",12,"1250",1,0.0087,0.007,0.0012,"mtdna102",22.9,NA,"external","dioecism"
"7","Abudefduf saxatilis",7,"Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Xcalak",18.3259722222222,-87.8156111111111,NA,"","cytb, control region",15,"1250",1,0.0052,0.007,0.001,"mtdna102",22.9,NA,"external","dioecism"
"8","Acanthocybium solandri",8,"Wahoo","Garber, Tringali & Franks 2005","","Caribbean Sea off the Cayman Islands",19.303,-75,NA,"2001","control region",23,"890",1,NA,0.052,NA,"mtdna101",250,6e+06,"external","dioecism"
"9","Acanthocybium solandri",9,"Wahoo","Garber, Tringali & Franks 2005","Bahamas","Bimini, Bahamas",25.739,-79.0347222222222,NA,"1997/1998","control region",40,"890",1,NA,0.05,NA,"mtdna101",250,6e+06,"external","dioecism"
"10","Acanthocybium solandri",10,"Wahoo","Garber, Tringali & Franks 2005","United States","Atlantic Ocean off North Carolina",34.8,-70,NA,"2000/2001","control region",23,"890",1,NA,0.053,NA,"mtdna101",250,6e+06,"external","dioecism"
"11","Acanthocybium solandri",11,"Wahoo","Garber, Tringali & Franks 2005","United States","East Central Florida",28.304,-75,NA,"2001","control region",30,"890",1,NA,0.055,NA,"mtdna101",250,6e+06,"external","dioecism"
"12","Acanthocybium solandri",12,"Wahoo","Garber, Tringali & Franks 2005","United States","Northern Gulf of Mexico",29.229,-84,NA,"1998-2000","control region",54,"890",0.999,NA,0.055,NA,"mtdna101",250,6e+06,"external","dioecism"
"13","Acanthocybium solandri",13,"Wahoo","Garber, Tringali & Franks 2005","United States","Southern tip of Florida",25.205,-76,NA,"2000/2001","control region",21,"890",0.995,NA,0.049,NA,"mtdna101",250,6e+06,"external","dioecism"
"14","Acanthocybium solandri",14,"Wahoo","Garber, Tringali & Franks 2005","USA","Central Pacific Ocean off Hawaiian Islands",22,-158,NA,"2000","control region",40,"890",1,NA,0.055,NA,"mtdna101",250,6e+06,"external","dioecism"
"15","Acanthopagrus schlegelii",15,"Blackhead seabream","Jean et al. 1998","Taiwan","Fulung",25.066,121.133333333333,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",7,"717",0.8792,NA,0.00381,NA,"mtdna101",50,NA,"external","protandry"
"16","Acanthopagrus schlegelii",16,"Blackhead seabream","Jean et al. 1998","Taiwan","Matsu",26.164,120,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.9091,NA,0.00399,NA,"mtdna101",50,NA,"external","protandry"
"17","Acanthopagrus schlegelii",17,"Blackhead seabream","Jean et al. 1998","Taiwan","Penghu",23.554,119.083333333333,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.9091,NA,0.00269,NA,"mtdna101",50,NA,"external","protandry"
"18","Acanthopagrus schlegelii",18,"Blackhead seabream","Jean et al. 1998","Taiwan","Taihsi",23.655,120.033333333333,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.8485,NA,0.00232,NA,"mtdna101",50,NA,"external","protandry"
"19","Acanthopagrus schlegelii",19,"Blackhead seabream","Jean et al. 1998","Taiwan","Tanshui",25.165,121.033333333333,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.9091,NA,0.00232,NA,"mtdna101",50,NA,"external","protandry"
"20","Acanthopagrus schlegelii",20,"Blackhead seabream","Jean et al. 1998","Taiwan","Tungkang",22.447,120.1,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.7879,NA,0.00316,NA,"mtdna101",50,NA,"external","protandry"
"21","Acanthopagrus schlegelii",21,"Blackhead seabream","Jean et al. 1998","Taiwan","Wuchi",24.187,120.1,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.8485,NA,0.00274,NA,"mtdna101",50,NA,"external","protandry"
"22","Acanthurus nigrofuscus",22,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Costa Rica","Cocos Islands",5.08361111111111,87.0019444444444,NA,"2008","cytb",32,"694",0.88,0.00707,0.003,0.000336,"mtdna101",21,NA,"external","dioecism"
"23","Acanthurus nigrofuscus",23,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","French Polynesia","Moorea",-17.0841666666667,149.134166666667,NA,"2008","cytb",31,"694",0.78,0.0144,0.003,0.000341,"mtdna101",21,NA,"external","dioecism"
"24","Acanthurus nigrofuscus",24,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Christmas Island",-10.0688888888889,105.100833333333,NA,"2008","cytb",51,"694",0.85,0.0042,0.0025,0.000224,"mtdna101",21,NA,"external","dioecism"
"25","Acanthurus nigrofuscus",25,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Diego Garcia",-7.05027777777778,72.0669444444444,NA,"2008","cytb",32,"694",0.85,0.00884,0.003,0.000301,"mtdna101",21,NA,"external","dioecism"
"26","Acanthurus nigrofuscus",26,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Seychelles",-4.10027777777778,55.0680555555556,NA,"2008","cytb",32,"694",0.72,0.0124,0.0017,0.000212,"mtdna101",21,NA,"external","dioecism"
"27","Acanthurus nigrofuscus",27,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Pacific Ocean","Kiritimati",1.135,-157.066666666667,NA,"2008","cytb",35,"694",0.89,0.00676,0.0032,0.000338,"mtdna101",21,NA,"external","dioecism"
"28","Acanthurus nigrofuscus",28,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","South Pacific Ocean","Fiji",-18,179,NA,"2008","cytb",30,"694",0.91,0.00548,0.0031,0.000365,"mtdna101",21,NA,"external","dioecism"
"29","Acanthurus nigrofuscus",29,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","French Frigate Shoals",23.1177777777778,-166.017777777778,NA,"2006","cytb",33,"694",0.72,0.0139,0.0021,0.000226,"mtdna101",21,NA,"external","dioecism"
"30","Acanthurus nigrofuscus",30,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Gardner Pinnacles",24.1525,-167.1525,NA,"2006","cytb",25,"694",0.72,0.016,0.0021,0.00028,"mtdna101",21,NA,"external","dioecism"
"31","Acanthurus nigrofuscus",31,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Hawaii Island",19.085,-155.083333333333,NA,"2006","cytb",33,"694",0.65,0.0157,0.0022,0.000261,"mtdna101",21,NA,"external","dioecism"
"32","Acanthurus nigrofuscus",32,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Kauai",22.0022222222222,-159.083333333333,NA,"2006","cytb",26,"694",0.81,0.0118,0.0023,0.000294,"mtdna101",21,NA,"external","dioecism"
"33","Acanthurus nigrofuscus",33,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Maui",20.1333333333333,-156.050833333333,NA,"2006","cytb",36,"694",0.77,0.01,0.003,3e-04,"mtdna101",21,NA,"external","dioecism"
"34","Acanthurus nigrofuscus",34,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Molokai",21.0175,-157.000833333333,NA,"2006","cytb",29,"694",0.71,0.0149,0.0024,0.000297,"mtdna101",21,NA,"external","dioecism"
"35","Acanthurus nigrofuscus",35,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Nihoa",23.0016666666667,-161.150555555556,NA,"2006","cytb",40,"694",0.73,0.00949,0.0026,0.000253,"mtdna101",21,NA,"external","dioecism"
"36","Acanthurus nigrofuscus",36,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Oahu",21.0683333333333,-157.152222222222,NA,"2006","cytb",39,"694",0.7,0.0112,0.0019,0.000208,"mtdna101",21,NA,"external","dioecism"
